Author,Restaurant,Review,URL,Author count,F1,Mons ago,Stars
嘴呷嘴嫌,水鳥和洋創作料理-諸羅店,環境佳 吃氣氛,https://maps.google.com/?cid=3199594271319476827,82,414361,36,2
許萬傳,台灣磚窯雞,None,https://maps.google.com/?cid=13688898566116020300,51,3802550,,1
Casablanca Jason,PUTIEN莆田 台中台灣大道店,None,https://maps.google.com/?cid=6456761546980285979,53,5376008,,1
Casablanca Jason,燒肉風間 Kazama,None,https://maps.google.com/?cid=1822017086646620242,53,5422272,,1
梁信得,聯合泰式自助餐,不便宜的泰式菜，老闆以目測計價超乎想像價格,https://maps.google.com/?cid=10725155042990479300,51,5822502,,1
梁信得,林家牛肉麵,要注意衛生習慣,https://maps.google.com/?cid=6962381572011683620,51,8252674,,1
BJ LIN,肯德基,服務態度待加強，有夠死板,https://maps.google.com/?cid=470539795656981138,54,4047408,,1
Lucas Kuo,XM麻辣鍋,"不是說11點半才撤餐~還沒11點就在收了~阿吃豆花沒有糖水是怎樣   問服務生說沒糖水了
要吃鴨血  什麼湯匙都收了 若怕客人吃 就吃到飽的店 只能說XM越來越爛  湯頭都沒什麼味道~",https://maps.google.com/?cid=5839210580232168960,54,6790796,,1
Lucas Kuo,XM麻辣鍋,湯頭沒味道  服務差  東西怕客人吃~很無言,https://maps.google.com/?cid=5839210580232168960,54,6790742,,1
yung yu Tsao,正古早甕缸雞坊,"(由 Google 提供翻譯) 該餐廳自從近年來生意旺後，餐廳老闆就抖了起來，待客態度變差了，不以喜悅感恩的心做出來的菜會好吃嗎？

(原始評論)
該餐廳自從近年來生意旺後，餐廳老板就抖了起來，待客態度變差了，不以喜悅感恩的心做出來的菜會好吃嗎？",https://maps.google.com/?cid=12451801306730404948,54,3968188,,1
金哥,禾記嫩骨飯 - 國道仁德(北)服務區店,None,https://maps.google.com/?cid=4711390986504832487,54,6855440,,1
Hongyu Lee,劉家酸菜白肉鍋(惠文店),None,https://maps.google.com/?cid=16141538761303441883,55,5598813,,1
Hongyu Lee,王塔米糕店,None,https://maps.google.com/?cid=8950535417995672563,55,5911778,,1
諸利福,台中華美街担仔麵餐廳 (必吃海產美食、平價小吃、人氣銅板料理),None,https://maps.google.com/?cid=15831386659864663696,55,5813629,,1
諸利福,新天地餐飲集團-旗艦店,None,https://maps.google.com/?cid=11658833528597790600,55,5935486,,1
諸利福,窯滾天堂餐美食餐館,None,https://maps.google.com/?cid=10538044549072348236,55,5785978,,1
