seg,count,City
好吃,4882,台中
吃,1942,台中
服務,1662,台中
餐點,1397,台中
不錯,1287,台中
環境,1055,台中
非常,996,台中
親切,933,台中
口味,903,台中
味道,865,台中
價格,860,台中
老闆,768,台中
真的,746,台中
用餐,737,台中
態度,711,台中
湯頭,658,台中
份量,634,台中
拉麵,621,台中
東西,593,台中
推薦,586,台中
美味,577,台中
新鮮,575,台中
不會,554,台中
高,534,台中
喜歡,524,台中
麵,515,台中
有點,503,台中
cp值,501,台中
便宜,488,台中
覺得,480,台中
平價,467,台中
飲料,439,台中
乾淨,437,台中
食材,433,台中
適合,424,台中
沒,408,台中
很多,406,台中
店員,404,台中
料理,403,台中
超,395,台中
食物,394,台中
好喝,385,台中
舒適,381,台中
人員,374,台中
讚,370,台中
感覺,368,台中
比較,368,台中
炒飯,368,台中
用心,349,台中
值得,345,台中
地方,345,台中
店,342,台中
店家,341,台中
選擇,338,台中
特別,336,台中
店內,333,台中
想,333,台中
很棒,331,台中
餐廳,325,台中
朋友,318,台中
