,seg,count,City
0,好吃,2764,基隆
1,吃,1005,基隆
2,服務,786,基隆
3,不錯,727,基隆
4,新鮮,537,基隆
5,價格,495,基隆
6,餐點,492,基隆
7,非常,457,基隆
8,味道,436,基隆
9,便宜,410,基隆
10,環境,407,基隆
11,口味,399,基隆
12,用餐,369,基隆
13,湯頭,367,基隆
14,親切,363,基隆
15,基隆,348,基隆
16,老闆,337,基隆
17,真的,336,基隆
18,美味,332,基隆
19,態度,317,基隆
20,海鮮,314,基隆
21,東西,283,基隆
22,份量,282,基隆
23,餐廳,278,基隆
24,cp值,277,基隆
25,推薦,272,基隆
26,食材,266,基隆
27,高,254,基隆
28,沒,242,基隆
29,覺得,240,基隆
30,有點,238,基隆
31,不會,235,基隆
32,麵,230,基隆
33,牛肉,229,基隆
34,牛肉麵,217,基隆
35,料理,215,基隆
36,值得,213,基隆
37,乾淨,205,基隆
38,不錯吃,202,基隆
39,超,202,基隆
40,食物,200,基隆
41,感覺,199,基隆
42,店家,199,基隆
43,喜歡,199,基隆
44,比較,196,基隆
45,價位,186,基隆
46,實在,185,基隆
47,炒飯,183,基隆
48,肉,182,基隆
49,平價,181,基隆
50,人員,177,基隆
51,普通,172,基隆
52,菜色,171,基隆
53,很多,170,基隆
54,麵包,168,基隆
55,特別,163,基隆
56,適合,161,基隆
57,店員,160,基隆
58,很棒,157,基隆
59,讚,156,基隆
61,好吃,4882,台中
62,吃,1942,台中
63,服務,1662,台中
64,餐點,1397,台中
65,不錯,1287,台中
66,環境,1055,台中
67,非常,996,台中
68,親切,933,台中
69,口味,903,台中
70,味道,865,台中
71,價格,860,台中
72,老闆,768,台中
73,真的,746,台中
74,用餐,737,台中
75,態度,711,台中
76,湯頭,658,台中
77,份量,634,台中
78,拉麵,621,台中
79,東西,593,台中
80,推薦,586,台中
81,美味,577,台中
82,新鮮,575,台中
83,不會,554,台中
84,高,534,台中
85,喜歡,524,台中
86,麵,515,台中
87,有點,503,台中
88,cp值,501,台中
89,便宜,488,台中
90,覺得,480,台中
91,平價,467,台中
92,飲料,439,台中
93,乾淨,437,台中
94,食材,433,台中
95,適合,424,台中
96,沒,408,台中
97,很多,406,台中
98,店員,404,台中
99,料理,403,台中
100,超,395,台中
101,食物,394,台中
102,好喝,385,台中
103,舒適,381,台中
104,人員,374,台中
105,讚,370,台中
106,感覺,368,台中
107,比較,368,台中
108,炒飯,368,台中
109,用心,349,台中
110,值得,345,台中
111,地方,345,台中
112,店,342,台中
113,店家,341,台中
114,選擇,338,台中
115,特別,336,台中
116,店內,333,台中
117,想,333,台中
118,很棒,331,台中
119,餐廳,325,台中
120,朋友,318,台中
