seg,count
好吃,1198819
服務,472050
不錯,418828
餐點,345500
新鮮,295291
環境,273679
親切,257333
美味,217145
很好吃,210453
很好,194923
食材,190410
東西,187343
用餐,186933
價格,179227
口味,166698
味道,157999
推薦,153939
讚,153255
餐廳,152082
食物,144789
份量,141679
料理,135592
很棒,135435
吃,120408
值得,119663
人員,110711
喜歡,108087
湯頭,107339
氣氛,103707
便宜,103453
適合,99940
舒適,99735
乾淨,98311
不錯吃,97656
服務態度,96113
菜色,94467
平價,89543
佳,82050
海鮮,81310
聚餐,78344
超好吃,78239
cp值,78067
好喝,78021
吃服務,73289
實在,72762
特別,72254
價位,72236
好好吃,67100
麵,64759
方便,63894
用心,63401
高,63352
停車,63268
感覺,58970
美食,58561
地方,58541
沒有,58120
cp值高,56246
好地方,56087
態度,55666
